bug_commit_hash,ns,nd,entropy,lt,fix,age,ndev,nuc,commit,exp_of_files,exp_of_codes,exp,rexp,sexp,la,ld,lines_of_modified_code,nf,candidate_commit_to_fix,is_Friday,is_latest_bic,is_largest_mod,is_earliest_bic,label
cb80d34a1bdd5eb6da325706cddee06d5989b520,1,1,0.0,0.0,0,0.0,0,0,abdf2f61a6eb6465337defaca28fe57bbb9ad949,27,3247,52,53.0,51.0,53,0,53,1,38260,0,0,0,1,0
cb80d34a1bdd5eb6da325706cddee06d5989b520,1,1,0.0,278.0,1,0.0026157407407407,7,54,9cc404a2a0d40a6a24cc8be96b23abb48aaedcc3,4,55,4,5.0,4.0,4,1,5,1,4853,1,0,0,0,0
cb80d34a1bdd5eb6da325706cddee06d5989b520,1,1,0.0,281.0,1,0.6199305555555555,8,55,cb80d34a1bdd5eb6da325706cddee06d5989b520,460,302207,413,176.33333333333334,244.0,20,14,34,1,36156,0,1,0,0,1
cb80d34a1bdd5eb6da325706cddee06d5989b520,1,1,0.0,153.0,0,0.0005324074074074,5,23,9e9c75e79330730bbd340c58f538b84ccacfd32c,65,12182,117,67.83333333333333,96.0,60,13,73,1,33426,0,0,1,0,0
cb80d34a1bdd5eb6da325706cddee06d5989b520,1,1,0.0,239.0,1,0.0934375,6,37,5fcc03ab491c4eb92ee848ae595237bd8ffcf2ce,111,53031,202,125.66666666666669,160.0,6,4,10,1,32713,0,0,0,0,0
d43235a56772115ac1b945cc670f7ffd8f76c447,2,3,2.321928094887362,367.8,1,0.1360648148148148,1,14,d43235a56772115ac1b945cc670f7ffd8f76c447,49,11227,105,57.0,49.0,153,32,185,5,11450,0,1,1,1,1
487c33d50fa938c9e725180877f6510ecae89db5,2,2,3.459431618637298,181.0909090909091,0,3.000625,16,130,a6f4788735059da2682205c059d53e1c9c83c34f,29,3842,64,65.0,61.0,288,320,608,11,43271,0,1,0,0,0
487c33d50fa938c9e725180877f6510ecae89db5,13,7,6.066089190457767,0.3880597014925373,0,0.2817476851851851,1,1,5d8d5dd6c43861a13ed1439fa352a676e4dca2f8,2,26,1,2.0,1.0,5399,6,5405,67,50343,0,0,1,1,0
5e61f3b9f9501bd9650e45b972d468c9502de540,1,1,1.0,33.5,0,120.00234953703703,2,2,5e61f3b9f9501bd9650e45b972d468c9502de540,0,0,0,0.0,0.0,29,23,52,2,4291,0,1,1,1,1
0320b2cea83e626d06c16d13cd034d46d68d33ee,1,5,2.321928094887362,7998.0,0,0.1435300925925925,1,3,0320b2cea83e626d06c16d13cd034d46d68d33ee,3543,1476154,1126,581.3333333333334,888.0,968,337,1305,5,49375,0,1,1,1,1
5a252208b6ffaccf56e5fee16feaa816cb9a5c5b,1,2,1.0,428.0,1,0.0145717592592592,4,56,1230d8a3920da8f2050c39e8ffc3b3f9c5a2f2b2,13564,2644329,3152,905.9595238095238,2846.0,24,11,35,2,37228,1,0,0,0,0
5a252208b6ffaccf56e5fee16feaa816cb9a5c5b,1,13,4.459431618637295,157.22727272727272,0,0.0405902777777777,7,185,d4304b640072ae6f1628cd228af5391901496b44,2249,301507,431,432.0,422.0,1058,97,1155,22,50919,0,0,1,1,0
5a252208b6ffaccf56e5fee16feaa816cb9a5c5b,1,28,5.129283016944964,281.45714285714286,0,0.0874999999999999,9,405,25814ec48563c9893609860249096ff28c6e0af4,7165,1457639,1921,665.8,1831.0,191,85,276,35,53951,0,0,0,0,0
5a252208b6ffaccf56e5fee16feaa816cb9a5c5b,1,1,0.0,126.0,1,0.8248842592592592,2,10,5a252208b6ffaccf56e5fee16feaa816cb9a5c5b,912,34578,111,74.0,107.0,37,0,37,1,53440,0,1,0,0,1
def20ad90edbcaba3e063445c8a7f01ab8ca5a46,1,6,2.584962500721156,91.16666666666669,0,7.16417824074074,6,21,658de4c08aee1350809ced0ea9f9043f3efda5c7,1,45,1,2.0,1.0,36,11,47,6,32141,0,0,1,1,0
def20ad90edbcaba3e063445c8a7f01ab8ca5a46,1,3,1.584962500721156,45.333333333333336,0,0.0009953703703703,5,11,430ba90df3a4541274f63662b814a2d12bcd3c8e,15,542,5,6.0,4.0,10,1,11,3,24299,1,1,0,0,0
21318eb454ff5330e625479e61bcf15f64577b91,1,1,0.0,201.0,1,1.1609606481481485,5,17,21318eb454ff5330e625479e61bcf15f64577b91,6,593,21,10.333333333333332,3.0,4,10,14,1,4275,0,1,1,1,1
012ad9217a9bb71264bb6c5ad3a1da847610effc,1,1,1.0,1386.5,0,0.0121064814814814,18,284,d288a41dbafeef8ac1d166cf17fa469a750ee252,440,376220,574,213.2,525.0,31,21,52,2,61131,0,1,1,1,0
93411a13cafb165d123a7ec20eeb1333af453102,1,1,0.0,79.0,1,4.983715277777778,1,2,eb62e6ab96eeed880fd90bd56aaa11f85669c82b,0,0,0,0.0,0.0,16,6,22,1,20223,0,0,0,0,0
93411a13cafb165d123a7ec20eeb1333af453102,11,27,6.108524456778164,0.0579710144927536,0,0.0146643518518518,1,1,29c06f39b11ae073655fdea4d34d6647e609398a,0,0,0,0.0,0.0,4256,4,4260,69,84513,0,0,1,1,0
93411a13cafb165d123a7ec20eeb1333af453102,1,1,0.0,89.0,0,0.25,2,5,93411a13cafb165d123a7ec20eeb1333af453102,48,2412,22,13.0,17.0,32,4,36,1,1906,0,1,0,0,1
