project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor_1,00acccac644c20803d11ef7e162ae327eb834cf7,0,0,0,0,610,263.248,0,0,0,0,0,0,0,0
tor_1,00ad6f12fb910223e42bbd9d41ed131075ed49a2,0,0,0,0,19598,4492.48,0,0,0,0,0,0,0,0
tor_1,00b073b1bc909d2d2a30a3c1ddd5abd5e670da80,0,0,0,0,452,152.523,0,0,0,0,0,0,0,0
tor_1,00b13cb09170e5144516698429c29975abe2de10,0,0,0,0,11579,2748.51,0,0,0,0,0,0,0,0
tor_1,00b2b69add373f168e8729e99f349ec5a3753db3,2,5,15,0.584986,6700,1857.49,3259,34,61.6968,248,1,55,49,2212.73
tor_1,00b37f071d2c96612892340f5f883b869033d6a1,2,3,4,0.270629,5118,1560,3258,20,19.1373,655.25,1,28,20,4114
tor_1,00b4784575c88d5de15886b440096c1e2b9fb080,1,2,2,0.546218,7052,1879.16,3129,12,40.6738,179.5,0,4,18,2012
tor_1,00b55c5155cb53cbcd7da12a024f90d47a1e4739,1,1,1,0,1429,893.01,1416,3,1.84228,0,0,3,3,85
tor_1,00b57e81f827d524dc42e2eab052e4d3b61b2cb6,0,0,0,0,21428,3736.06,0,0,0,0,0,0,0,0
tor_1,00b59d92817f34c60fe9bc1f8b72b6e81ae1c431,1,3,3,0.75,623,307.724,552,36,62.0722,295.667,0,4,8,2094.67
tor_1,00b8d94d76172d84fc7389c5fec6b59b6f0d27fd,1,1,1,0,2281,1337.34,2166,3,0.527488,0,1,2,2,986
tor_1,00bc18b84799afcb6a48e0ee9273e155e3d2a54e,0,0,0,0,18490,4676.12,0,0,0,0,0,0,0,0
tor_1,00bcbfe30e7abcd2dd1e904c90bf3baa0fe77883,1,1,4,0.12735,329,228.218,329,2,0.937433,0,0,45,4,253
tor_1,00bcc25d05dc0273323a2cae20c6aa62afd4b50a,1,1,3,0.491133,8643,2199.93,3989,24,2.67194,219.333,0,4,3,2157
tor_1,00bdd56b18e1441510e770b16bd869968839153b,1,1,1,0,12870,3100.71,6024,3,0.440255,24,0,5,4,649
tor_1,00bf0977769c7c8d548283cf830d7c07f0a89985,1,3,3,1,2553,1369.07,2408,5,0.844996,0,0,3,3,308.333
tor_1,00bf4ed592edfe73505499ce525aa3c96d35ae34,0,0,0,0,15048,3893.28,0,0,0,0,0,0,0,0
tor_1,00c004ff241894f61707ea9ccfe7935ba82b1cd7,1,1,1,0,1640,1006.93,1615,5,0.0623264,0,0,2,1,245
tor_1,00c00a442c7cef837243046b5b83c9e374d07f22,1,1,1,0,286,164.626,256,5,4.14773,0,0,3,1,4169
tor_1,00c05dd829dbd0a4ce25400e3ced8518cabd2617,1,17,157,0.388902,76,52.0035,74,0,0,0,0,53024,0,0
tor_1,00c3fba61c778981903bd9598d2eaa27f51e51a7,1,1,1,0,843,611.972,67,1,1.55609,1,1,1,1,261
tor_1,00ca2cc5b982bd7b5e8342cb504f24a500ac00ab,1,1,1,0,8608,2194.07,1249,14,2.6719,1806,0,1,1,15300
tor_1,00ca3d04cfa0625349a47d1a2f7c16ac66e7822d,0,0,0,0,508,198.343,0,0,0,0,0,0,0,0
tor_1,00cbe44afcac056428c07da4bd9d681465df3bc8,1,2,2,0.57938,1845,1045.89,1749,6,0.481238,0,0,12,3,1930
tor_1,00cdb17a5427c22b5abc7362ca8b0b5daaf7a09c,0,0,0,0,19827,4586.93,0,0,0,0,0,0,0,0
tor_1,00ce25a7206d091444a65f1157468c8cb256b586,1,1,1,0,1340,854.986,363,15,0.00135417,181,1,1,1,3463
tor_1,00d1093daf692b70d21d60f3333296097a01a376,0,0,0,0,13848,3584.03,0,0,0,0,0,0,0,0
tor_1,00d21598ec6288f4b9208a013c26c613c674082f,1,1,1,0,1922,1071.02,1823,6,2.47633,0,0,2,1,2019
tor_1,00d64fd2136e5e51abedced3801fb4be3cffc021,1,1,1,0,561,229.512,67,7,0.0000347222,860,0,44,28,4970
tor_1,00d7b60557883ac0c3ad4c27071d4efe1f7a3ffb,0,0,0,0,15194,3999.33,0,0,0,0,0,0,0,0
tor_1,00d9e0d252687110189ea5a1ed0dce99a7984681,1,3,9,0.406089,22,21.39,20,17,87.2042,35.3333,1,113,62,1087.44
tor_1,00dab5847904465eba6b6b0c9730f1d05ec82571,1,1,3,1,2065,1253.57,68,3,22.9616,3.33333,0,7,5,1515
tor_1,00e13c6d4d80986771ab453850c76201d48d0dfe,1,1,1,0,462,92.0769,145,0,0,0,0,4,0,0
tor_1,00e150a0e4967f5859f3eecb51fb54104d87335d,0,0,0,0,16785,4287.72,0,0,0,0,0,0,0,0
tor_1,00e15ba4772bb11c00e88f9e263966c856f1f275,1,1,1,0,1,0.99972,0,38,-0.518472,889,0,1,0,1670
tor_1,00e2310f12dfb91aca2949463b57bd6937f19166,2,3,3,0.491133,8391,2215.27,4608,17,126.52,297.667,1,20,1,1513
tor_1,00e3d7b4a91092c75a7ea1d032a331be470c1432,1,1,4,0.596563,5325,1577.66,114,4,791.403,4.75,0,5,13,126
tor_1,00e4a707745d1faf4501e71be822042d5b5477f0,0,0,0,0,59,58.2664,0,0,0,0,0,0,0,0
tor_1,00e6329de23307b8a3e6c23fbfd7d412e573a555,1,1,1,0,3016,1490.47,2839,3,0.0226968,0,0,8,6,2071
tor_1,00e781142b919476fd1ea594ac36b08147c20ede,1,1,1,0,15444,4050.86,7011,16,0.00846065,214,0,1,1,3114
tor_1,00e7e324d1d38aa66d61d90ee20c2a5577815653,1,1,1,0,7102,696.246,1309,5,0.0729398,109,0,1,122,18531
tor_1,00ec4b2c002928f1a901950e2cc851578f295b1b,1,1,5,0.364483,7,6.42085,7,28,0.752215,587.8,0,55,45,3264.8
tor_1,00ec6e6af0775cd693e12e56eb6df3cbefe57daa,1,2,6,0.472026,290,77.6913,225,54,-0.34028,723.5,0,23,28,4666
tor_1,00ec701f8343f5523de52d10b19fe637609f735e,1,1,1,0,6986,786.152,1284,15,0.0012037,2011,0,32,0,21064
