project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
pig,8e3b66a17c532c63b2ec36f17af9d68628a924b1,3,3,3,0,58,50.0589,89,1,0.000000,0.333333,0,579,3,194.000000
pig,5514f6050c4401f10ddfdbd39c4b6fff64efd6e8,3,9,15,0,59,51.0462,92,1,0.000000,0.066667,1,792,180,64.800000
pig,24dd0e92a0cd329321eee2646c4bea4403d70727,3,7,8,0,40,34.8984,78,1,0.000000,0.125000,1,205,61,33.250000
pig,dddedebe86a8e39f94917e516201f433923bbd6a,2,1,0,0,41,35.892,67,1,0,0,1,0,0,0
pig,54c0613d76b3cd365377b57389bd60e5aaac9ea8,3,2,2,0,60,51.8833,109,1,0.000000,0.500000,0,68,1,34.500000
pig,409623a1509ff7d684efb90b317395cd436bfac1,4,4,4,0,42,36.7324,92,1,0.000000,0.250000,0,1658,7,416.250000
pig,8f0c90aa7fecae92769cf9b0cad3b6b7dc40f4f7,1,1,1,0,61,52.795,51,1,0.000000,1.000000,0,0,1,1.000000
pig,99f8dd8abe718a4e8dd3422b4a6b153f78ba63e5,3,11,40,0,62,53.6617,113,1,0.000000,0.025000,0,1680,1371,76.275000
pig,830244f5519c04c186fbde3560f4a61cab635655,1,1,0,0,63,54.6606,0,1,0,0,0,0,0,0
pig,15a03d394227a7c6d95d4dc9f06727db196d420a,2,1,1,0,64,55.5754,90,1,0.000000,1.000000,1,3,9,12.000000
pig,087bb57260ed1c59f7db486ef92491148e42be4a,3,2,2,0,65,56.5612,118,1,0.000000,0.500000,0,33,1,17.000000
pig,45f5885daaaa3b699910147fe413e779fda06e77,3,12,23,0,66,57.5486,121,1,0.000000,0.043478,0,2437,23,106.956522
pig,c63979ccff74ed9f6d772ad653a8502c529baf6a,2,1,1,0,67,58.5253,96,1,0.000000,1.000000,1,3,4,7.000000
pig,c5956a79d0b4ba1a5a5afe23f004f05851e75a97,2,3,3,0,68,59.5121,98,1,0.000000,0.333333,0,16,8,8.000000
pig,bcebbc526c1e044033c25e239b7b1ff7891ec869,3,5,5,0,69,60.0957,128,1,0.000000,0.200000,1,29,6,7.000000
pig,d551cbb326dd2c7ab006dd5e4575f10cb18c8144,1,1,4,0,70,60.9309,59,1,0.000000,0.250000,1,13,27,10.000000
pig,d2b46760ae779dd559323aff3324a87bc31760e7,3,1,0,0,71,61.8199,64,1,0,0,1,0,0,0
pig,4f7773ba7ba723ac9d10f7255cf36eaa21ed9998,2,1,1,0,72,62.815,104,1,0.000000,1.000000,1,10,5,15.000000
pig,57979b54da0b605f8a560c7818635a3fb28eec04,3,5,6,0,73,63.6786,135,1,0.000000,0.166667,0,286,26,52.000000
pig,02846c00bddf09e64c2f61e39815064cf71c3644,3,4,15,0,74,64.6403,114,1,0.000000,0.066667,1,1441,304,116.333333
pig,70b015a47fe19eca3f60286e3539995cde072246,2,1,6,0,75,65.4781,109,1,0.000000,0.166667,0,6,6,2.000000
pig,31e4f1b8c0482cbce52d9bb8e8532ba9c6b9abee,3,9,72,0,76,66.4758,118,1,0.000000,0.013889,0,1188,256,20.055556
pig,b87a811e538c6f29e2d0758d9cb258a1f023a24e,3,2,2,0,77,66.8528,144,1,0.000000,0.500000,1,40,12,26.000000
pig,b57d3fd9c2353c21d3793b5eeeff222970bbedbd,3,2,4,0,78,67.8237,147,1,0.000000,0.250000,1,85,51,34.000000
pig,d1fbb4bd2856d74546a7a32e21644ec925784122,3,3,2,0,43,36.4155,86,1,0.000000,0.500000,1,59,1,30.000000
pig,0352a55c6da0cc3a6de0fd379dff3c92e19d8e8b,3,3,2,0,44,37.3915,89,1,0.000000,0.500000,0,52,2,27.000000
pig,3a2d3519c857b7b070977481804cc11e5075ab75,3,9,36,0,79,68.3702,125,1,0.000000,0.027778,0,405,220,17.361111
pig,4ad82d3f700713559c99225822940e68bb1073ad,3,2,2,0,45,37.9524,79,1,0.000000,0.500000,1,13,1,7.000000
pig,993abd8af08d0d442822cc57f201f7c6b372a66d,2,1,1,0,46,38.9522,58,1,0.000000,1.000000,1,3,3,6.000000
pig,8e5bc40b43cd2158b24eea80af0c485426f193a4,3,2,3,0,47,39.7413,96,1,0.000000,0.333333,1,64,16,26.666667
pig,ef85e100e1fdd8005091231b8f2f602d66c80772,2,1,2,0,48,40.6714,80,1,0.000000,0.500000,1,24,14,19.000000
pig,1c7e2fc92a59fc6793d9809de7070e4857b24427,3,2,2,0,49,41.6711,101,1,0.000000,0.500000,0,24,8,16.000000
pig,541259efe2511225567d0ba4c7faab74926944f4,2,1,1,0,50,42.6707,84,1,0.000000,1.000000,1,7,1,8.000000
pig,433dd71e6de29a268c92825f74bd6e3b0c5d1ab2,3,8,21,0,80,68.1996,128,1,0.000000,0.047619,0,2244,38,108.666667
