project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor,00e2310f12dfb91aca2949463b57bd6937f19166,2,3,3,0.491133,7972,2142.53,6120,17,126.52,298,1,20,1,1513
tor,00e3d7b4a91092c75a7ea1d032a331be470c1432,1,1,4,0.596563,4876,1413.15,198,4,791.403,4.75,0,5,13,126
tor,00e4a707745d1faf4501e71be822042d5b5477f0,0,0,0,0,59,58.2664,0,0,0,0,0,0,0,0
tor,00e781142b919476fd1ea594ac36b08147c20ede,1,1,1,0,14306,3633.62,8522,16,0.00846065,215,0,1,1,3114
tor,00ec4b2c002928f1a901950e2cc851578f295b1b,1,1,5,0.364483,7,6.42085,7,28,0.752215,588.4,0,55,45,3264.8
tor,00ec6e6af0775cd693e12e56eb6df3cbefe57daa,1,2,6,0.472026,280,76.0742,217,54,-0.34028,723.833,0,23,28,4666
tor,00ec701f8343f5523de52d10b19fe637609f735e,1,1,1,0,6116,661.405,1293,15,0.0012037,2022,0,32,0,21064
tor,00ecc2212660e3d31c1c5098e5bbef618ece5ef8,1,1,1,0,6223,1760.8,1189,15,254.947,72,0,13,14,1711
tor,00ee62b8a55a81518458f99f822c4147e121a4d3,0,0,0,0,11389,2672.74,0,0,0,0,0,0,0,0
tor,00f1d1653e4ff703cfbcf82060b229ca8a39030d,1,2,9,0.311481,15607,3897.54,9018,103,0.00552984,592.333,0,36,16,4075.78
tor,00f2a09380d650f673f6d9c13107e67b31a71b64,1,1,5,0.29696,1358,806.553,1075,6,5.73016,214.6,1,78,35,1678.2
tor,00f59098767766cc594c89837781c28a1ec67682,2,2,2,0.523683,9575,2411.47,7356,16,4.43447,103.5,0,13,0,368
tor,00f74e0372a956f9db590e1cb2ddcfb265125023,1,1,4,0.359814,11433,2699.22,7133,38,125.492,624.5,0,19,16,3177
tor,00f921edb90f6267b22748c86caf4de707df4425,0,0,0,0,760,267.578,0,0,0,0,0,0,0,0
tor,00f9a356784eab8214b23888122cb0ed1a0fda43,1,1,1,0,85,56.4936,24,7,2.70741,173,0,21,5,2347
tor,00fae9a500475d7ebf1dd0f56c7fc78e2567c818,1,1,1,0,6484,1830.15,1093,14,12.0735,1714,0,1,8,12103
tor,00fafe9ab43a6ee8ca5d1338995f9c64b338bdc1,1,1,2,0.608022,6027,806.945,1278,14,33.5611,944,0,78,0,13317.5
tor,00fcd66218282d8bf655820c0609a67d96500d3a,1,1,1,0,4706,1487.87,3073,3,0.166053,395,0,9,5,3916
tor,00fd0cc5f91ad431c4beb25b8cc8f89ff1462268,1,2,3,0.484196,8244,2116.92,5526,28,4.59945,393.667,0,24,12,1482.67
tor,00fdaaee1e3cdfe40230a866c497d3648c43940c,1,4,7,0.25632,582,248.033,464,32,-99.5411,54.1429,0,264,8,765.714
tor,00fdcf27f5ff234d67f865600dd95489f127a0a3,1,1,1,0,2486,1123.85,219,7,6.51597,333,0,7,1,819
tor,00fe214729b935adc522883fa84b399429fefa74,0,0,0,0,18669,4134.33,0,0,0,0,0,0,0,0
tor,00ff80e0ae3a07ff3e2148d66d59716bc4630096,1,2,5,0.413015,5897,1685.64,4267,7,5.13538,271.6,0,16,11,2074
tor,00ffc474694ecd07ceea1ec54033e99b9b0e4057,1,1,1,0,164,123.601,44,1,1.80385,10,0,18,15,24
tor,00ffccd9a6d9b7f484c2e421be33aea3975a2879,1,3,14,0.780711,9298,2309.47,6104,26,47.5673,116.214,1,54,39,1698.79
tor,00ffefb41bc63d17ff68b7af2c9e8253715c12f3,1,1,2,0.0789627,9,8.89478,9,15,6.83532,72.5,0,20,14,1671
tor,00fff96e4884e295a767532aa570abf8d27e75ee,2,2,2,0.278129,337,184.991,341,2,30.7571,3,1,9,2,16
tor,00fffbc1a15e2696a89c721d0c94dc333ff419ef,2,2,2,0.125247,160,113.997,203,7,58.5229,354,1,77,1,1854.5
tor,0102aaeb6b513fb40fef51103780fe121e13f549,1,1,1,0,7513,2036.99,5131,5,67.0813,53,1,4,0,357
tor,01030a4db2c9aae4479ee9df431a75f41e75025c,1,1,1,0,75,59.0851,54,8,1.49531,500,0,10,2,1271
tor,010387e4bda401821ce05a67c6f1db60200275e7,0,0,0,0,19126,3952.77,0,0,0,0,0,0,0,0
tor,0104882e9b320a6b9b5d02fdd8b638d90fff1a1c,1,1,1,0,4076,1421.23,2676,7,0.0230903,783,0,4,0,2636
tor,010779176bb959c8106a95806ede2c80b4397f60,1,1,2,0.0570388,107,62.5902,83,5,10.6039,20,1,81,34,1734.5
tor,010954009130b245faf50ed229bcebff075ced64,1,1,2,0.734496,65,44.1555,25,3,300.619,10,0,20,5,112.5
tor,010b8dd4f6e8e3c3d2e44ff589ff61cbf64b952a,2,2,2,0.450982,94,75.7142,112,5,15.1243,126,0,10,1,794
tor,010bcfa9df31b1a07dcc543eaecca1fdfd353f0f,1,2,2,0.190101,1753,986.292,1381,2,9.76099,73.5,0,13,10,705
tor,010ee5d0ba06db9cbb70bd2442125ebdb726a18d,1,1,1,0,1143,805.821,803,3,35.9089,15,0,1,2,46
tor,010fd50c365f90f98e9e8ec243a573aba4c53cfa,1,1,2,0.356465,3460,1450.68,2724,4,0.108397,437,1,30,19,3011.5
tor,011307dd5fa608739456b98d259b013286320b91,2,4,6,0.475269,70,39.0897,94,28,31.2093,99.6667,1,41,9,1055.83
tor,0113a643a2e32b80931400e07d3b7389875570d1,1,1,4,0.2372,1527,924.992,1057,5,2.92487,174.5,0,58,1,1278.75
tor,0116eae59a35e4303ca179d6b0fb0302a83e87a1,2,3,3,0.353759,74,40.4224,106,28,6.86389,171,1,18,14,1154.33
tor,0117e2ea0dc09408e2fbc7224e335968af009874,0,0,0,0,13651,3387.42,0,0,0,0,0,0,0,0
tor,01184f164f027aa4e34a9f6b90c01120040f63cb,0,0,0,0,7680,2071.43,0,0,0,0,0,0,0,0
tor,0118a236a4fa3b3cbc5d3869e7ddc65f9a2480e3,1,1,1,0,2781,1364.92,1836,4,0.00127315,480,0,8,0,3325
