fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
a2d882aba9095bcd210fd956216f764fa3637eee,aeabd7cdcb05fc5ea7ccba859e88ca8c55531fec,1,0,0,0,599,327,Parrot,3.0,5.0,7.0,0.246131,227.0,213.258,228.0,2.0,9.60434,14.8571,0.0,198.0,129.0,185.857
a2d882aba9095bcd210fd956216f764fa3637eee,cc6b0f2eb430aa211c574b1a85f46908c4a194c0,0,0,0,0,35,11,Parrot,1.0,1.0,1.0,0.0,13.0,12.9989,11.0,3.0,0.0141782,12.0,0.0,5.0,6.0,345.0
a2d882aba9095bcd210fd956216f764fa3637eee,f6bf5b0c473d0e6ca15ee1cf0d7794dd92a1012e,0,0,0,0,57,431,Parrot,6.0,18.0,29.0,0.470565,5.0,4.99985,10.0,3.0,10.1872,13.3448,0.0,192.0,239.0,421.724
a2d882aba9095bcd210fd956216f764fa3637eee,0bf38af6b8949c57d66db87cde6450b0a4ff1a16,0,0,0,0,601,24,Parrot,1.0,1.0,1.0,0.0,225.0,211.908,164.0,1.0,2.4678,1.0,0.0,13.0,11.0,550.0
a2d882aba9095bcd210fd956216f764fa3637eee,0efa2d84b150670ee1f1df992114383a0eea0024,1,0,0,0,505,17,Parrot,1.0,1.0,1.0,0.0,298.0,271.903,212.0,2.0,0.299769,15.0,0.0,17.0,0.0,674.0
a2d882aba9095bcd210fd956216f764fa3637eee,7ac6d4481a78c86685ec60858572f28465601b06,0,0,0,0,143,12,Parrot,2.0,2.0,2.0,0.57938,556.0,466.13,141.0,2.0,1.80115,56.0,1.0,7.0,5.0,251.5
a2d882aba9095bcd210fd956216f764fa3637eee,ba8a1f93977977350e7b4cf23c1543fa18eafad4,0,0,0,0,116,121,Parrot,3.0,3.0,3.0,0.601906,581.0,488.952,544.0,2.0,1.09335,41.0,0.0,71.0,50.0,1190.33
a2d882aba9095bcd210fd956216f764fa3637eee,8f3fb8dfe6a2eb6740e269b35cc7ed8d9e55f53c,0,0,0,0,516,56,Parrot,1.0,2.0,3.0,0.176624,287.0,261.08,209.0,2.0,0.684938,13.6667,0.0,54.0,2.0,317.667
a2d882aba9095bcd210fd956216f764fa3637eee,251f8e880018c90a15e169070750c2be71cd98ee,1,0,0,0,546,24,Parrot,1.0,11.0,11.0,0.95351,309.0,258.929,223.0,2.0,0.0960806,4.09091,0.0,12.0,12.0,420.091
a2d882aba9095bcd210fd956216f764fa3637eee,9b153bbbca6522fab85f6747aabceb03a73dc4b3,0,0,0,0,556,709,Parrot,2.0,5.0,7.0,0.329705,305.0,255.101,261.0,2.0,1.79715,4.57143,0.0,290.0,419.0,281.857
a2d882aba9095bcd210fd956216f764fa3637eee,45a61ad7353e35e847346c0baf1b218da8fe9d2e,0,0,0,0,196,212,Parrot,2.0,2.0,2.0,0.0114474,512.0,427.2,146.0,2.0,0.464161,42.5,0.0,119.0,93.0,1356.0
a2d882aba9095bcd210fd956216f764fa3637eee,f8bf1ff863e75404a62778f967c9854d96acf3b2,0,0,0,0,410,9,Parrot,1.0,1.0,1.0,0.0,354.0,314.022,261.0,1.0,0.0332986,5.0,0.0,6.0,3.0,48.0
a2d882aba9095bcd210fd956216f764fa3637eee,7e03cb185f60ae99984b8d1f97dbacdc63a6c6dd,0,0,0,0,35,10,Parrot,2.0,3.0,3.0,0.655459,14.0,13.9989,20.0,3.0,0.0249691,46.3333,0.0,5.0,5.0,2062.67
a2d882aba9095bcd210fd956216f764fa3637eee,8ef7bcfa2600103ea76471d3a4f711fc3ad02c32,1,0,0,0,967,674,Parrot,2.0,2.0,3.0,0.423391,156.0,148.863,108.0,1.0,3.89898,4.33333,0.0,544.0,130.0,324.667
