fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
9694a0f7eaf7c105c44e2b3beb1578986f36a143,0de35588c1a3ae45ba13d50d2b96533e5b0595af,0,0,0,0,20,251,250.0,1.0,65.8,1.0,1.0,5.0,0.161153,0.0,1.0,0.806775,3.2,52.0,48.5175,40.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,33abe80b594f3ae85ea95815fbcd486fd085ad07,0,0,0,0,8,2,1.0,1.0,124.0,1.0,1.0,1.0,0.0,1.0,1.0,2.11808,3.0,59.0,55.5095,47.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,4fccaa514b73f02ee780b251488aa79d0d606b6a,0,0,0,0,22,29,21.0,8.0,73.0,1.0,1.0,5.0,0.538163,0.0,1.0,1.76299,3.4,50.0,46.5216,38.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,13ad0c500b0b4d28843c9b39d939b4b891513514,0,0,0,0,23,10,9.0,1.0,75.5,1.0,1.0,2.0,0.507374,0.0,1.0,1.1806,5.5,49.0,45.6222,37.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,faa84b5b852e73f446b95ed0c5b9f0a8d5a410d0,0,0,0,0,29,11,11.0,0.0,65.3333,1.0,1.0,3.0,0.83897,0.0,1.0,0.00705633,3.0,43.0,39.9705,31.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,071201e84b240859073dcfb941a2f6250e3f30a2,1,0,1,0,395,8,4.0,4.0,78.3333,1.0,2.0,3.0,0.780639,0.0,3.0,0.00277778,1.0,15.0,14.9834,7.0
9694a0f7eaf7c105c44e2b3beb1578986f36a143,445a0dac37be59dba3d9c5190d1cc9ff8a85f479,0,0,0,0,7,111,88.0,23.0,153.0,1.0,1.0,8.0,0.323223,0.0,8.0,0.299223,3.25,60.0,56.5069,48.0
b343fcaba34949c6c5ef530305dd186aa1a1f02a,526099c92844660ad0fc85712d989670313cfce1,0,1,1,1,1,4,2.0,2.0,30.0,1.0,1.0,1.0,0.0,0.0,4.0,0.106262,13.0,3.0,2.94464,3.0
156dffb961ab15f577e0a6aab1abc5efd68f9a9b,204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,0,0,1,0,65,10,5.0,5.0,129.4,1.0,1.0,5.0,0.827729,1.0,2.0,0.434889,2.2,54.0,50.5151,42.0
156dffb961ab15f577e0a6aab1abc5efd68f9a9b,c222f57b0029c3a5b2935a08805fbe122465768e,0,1,0,1,32,46,38.0,8.0,178.0,1.0,1.0,1.0,0.0,0.0,2.0,0.26515,9.0,114.0,106.577,44.0
b837bb7bdd2f4d66531766e0a660a9a10314f12e,6ba6fc149a71c4cdcc8e7c98c64d8d8ef1771108,0,1,1,1,43,26,17.0,9.0,81.0,1.0,1.0,1.0,0.0,0.0,3.0,0.262986,12.0,107.0,99.578,37.0
96bd63cc4bc36791aa6b7fc4559e5c5e9e00bab7,09fbf8e0caa60ab737db0941addd75357088c4c3,0,1,1,1,6,40,40.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,131.0,123.431,56.0
dd14fdfdc57d9a0dd9eeb10d83daacce77a2aaa3,81f3a5c6cd354996f435cd21c7b973c45146091e,0,1,1,1,297,55,23.0,32.0,72.0,1.0,2.0,2.0,0.246201,0.0,5.0,5.03821,2.0,1.0,0.992173,0.0
e379f8ec03c9b350937ef78331c0e1a0f5364838,dd14fdfdc57d9a0dd9eeb10d83daacce77a2aaa3,0,1,0,0,87,4,2.0,2.0,47.0,1.0,1.0,1.0,0.0,1.0,3.0,41.5712,2.0,7.0,6.93557,7.0
e379f8ec03c9b350937ef78331c0e1a0f5364838,e20747ef9bd206df6d03cc4c2ccb074eadf4a8df,0,0,1,0,519,28,25.0,3.0,56.0,1.0,2.0,2.0,0.210758,1.0,1.0,0.0268519,0.0,1.0,0.999974,1.0
e379f8ec03c9b350937ef78331c0e1a0f5364838,81f3a5c6cd354996f435cd21c7b973c45146091e,0,0,0,1,384,55,23.0,32.0,72.0,1.0,2.0,2.0,0.246201,0.0,5.0,5.03821,2.0,1.0,0.992173,0.0
bf275a909748a1e64ff06934ce0b6f8f285b86f7,d294a7f30f684d6f4e928529c839767ca6b1aa72,0,1,1,1,111,87,81.0,6.0,48.2,1.0,1.0,5.0,0.178761,0.0,1.0,0.85747,2.4,45.0,41.8786,33.0
222faf4544731b725c4fcbe1b416b89286275601,94573545f3ece778f9c52686fb1b53f19e43dc48,0,1,1,1,18,41,37.0,4.0,110.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0241088,8.0,126.0,118.451,53.0
64d72f8c4b1054c97393124d85681f0e168064fa,0de35588c1a3ae45ba13d50d2b96533e5b0595af,0,0,0,0,113,251,250.0,1.0,65.8,1.0,1.0,5.0,0.161153,0.0,1.0,0.806775,3.2,52.0,48.5175,40.0
64d72f8c4b1054c97393124d85681f0e168064fa,b4f096364f6a2d2a45bb3d220e507a791fd2d9dd,1,0,1,0,241,91,91.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0787,21.0
64d72f8c4b1054c97393124d85681f0e168064fa,f2b92d4c7bd7a71ec1118696c119bac22d4b836c,0,1,0,0,76,29,14.0,15.0,136.0,1.0,1.0,1.0,0.0,0.0,2.0,0.26456,5.0,112.0,104.578,42.0
64d72f8c4b1054c97393124d85681f0e168064fa,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,0,0,1,118,539,518.0,21.0,37.25,1.0,1.0,8.0,0.308351,0.0,1.0,0.526891,1.5,47.0,43.7603,35.0
4deb0d619c06e8f0d30f972a6412d65f19b7f921,fb6381fb35c8af868b5134c3d7a91699a7d01090,0,1,1,1,258,265,179.0,86.0,163.8,1.0,3.0,5.0,0.106528,0.0,3.0,8.0003,3.2,79.0,76.4926,79.0
7f8b2885d9f9feb396896f7d9d6086ac7731cf36,0c1f2720b38acf1b8968eac46ab887add37ee253,0,1,1,1,42,58,29.0,29.0,168.5,1.0,4.0,4.0,0.474903,0.0,3.0,47.2762,2.75,135.0,127.428,2.0
