fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
a61f4df0b9b23250a5a59285aad82cf7d82a19b8,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,0,0,2,412,217.0,195.0,327.0,1.0,2.0,6.0,0.248436,0.0,3.0,8.87379,2.16667,64.0,61.6718,64.0
14102e8a4851119afe66866735d63d7901ab470f,11a7cb5b734a1c28cce399fc8a56dbe43c7ce371,1,0,1,0,134,43,43.0,0.0,566.5,1.0,2.0,2.0,0.417099,0.0,2.0,0.00277778,1.0,13.0,12.9994,13.0
14102e8a4851119afe66866735d63d7901ab470f,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,0,1,6,412,217.0,195.0,327.0,1.0,2.0,6.0,0.248436,0.0,3.0,8.87379,2.16667,64.0,61.6718,64.0
14102e8a4851119afe66866735d63d7901ab470f,aea8e16b4a32d179e70089edde6f1892968cf2b8,1,0,0,0,78,33,24.0,9.0,563.667,1.0,2.0,3.0,0.44329,0.0,3.0,2.61801,5.33333,37.0,36.2973,37.0
cf926338bf64da66ccf44e1ad8f0cbf8cf83a924,fb6381fb35c8af868b5134c3d7a91699a7d01090,0,1,1,1,7,265,179.0,86.0,163.8,1.0,3.0,5.0,0.106528,0.0,3.0,8.0003,3.2,79.0,76.4926,79.0
dbd9d99bcd01849b737f608a8862c4300cbae217,3373572e15c00b2dab9f005a85bb420fae107b2b,0,1,1,1,38,173,99.0,74.0,376.25,1.0,3.0,8.0,0.180221,0.0,3.0,5.58804,3.875,63.0,61.1651,63.0
c54900f63e3841c571e637b364efd53f9af3c9c9,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,1,1,72,260,203.0,57.0,312.167,1.0,3.0,6.0,0.33585,0.0,3.0,6.20407,3.83333,52.0,50.7941,52.0
738de8cfa846936ae754ccfda607e4fb41c2170b,65568814179d2a28cc83d68a5e467c24b86da2f6,0,1,1,1,13,68,48.0,20.0,360.0,1.0,2.0,5.0,0.39325,1.0,3.0,1.92272,8.4,91.0,87.8269,90.0
e748be32da843211e68e60e3ec247bbfeef1d33a,15360056bdb9299b027740ecf2f96091f0a847cc,0,1,1,1,161,5,3.0,2.0,45.0,2.0,2.0,2.0,0.310917,0.0,2.0,7.35422,4.0,18.0,17.4543,10.0
c692d9e84421447b65fd23d31ac16b81fa055005,9ceaff73183837387835f9e96c80e58fc4aea34c,0,1,1,1,60,251,131.0,120.0,372.0,1.0,1.0,1.0,0.0,0.0,3.0,0.13125,9.0,86.0,83.2734,86.0
